id,date,volume
0,2014-11-20,45810221
1,2014-11-21,60391456
2,2014-11-24,50094566
3,2014-11-25,72696667
4,2014-11-26,43101440
5,2014-11-28,26213573
6,2014-12-01,88523014
7,2014-12-02,62668871
8,2014-12-03,45449566
9,2014-12-04,44522535
10,2014-12-05,40469204
11,2014-12-08,60872177
12,2014-12-09,63577767
13,2014-12-10,47045201
14,2014-12-11,43789936
15,2014-12-12,59159400
16,2014-12-15,70959092
17,2014-12-16,64100708
18,2014-12-17,56384329
19,2014-12-18,62279357
20,2014-12-19,93393464
21,2014-12-22,47699142
22,2014-12-23,27476050
23,2014-12-24,15296050
24,2014-12-26,35610489
25,2014-12-29,29133164
26,2014-12-30,31555587
27,2014-12-31,43715939
28,2015-01-02,56196458
29,2015-01-05,67880159
30,2015-01-06,69460979
31,2015-01-07,42324520
32,2015-01-08,62679241
33,2015-01-09,56712884
34,2015-01-12,52421263
35,2015-01-13,70853466
36,2015-01-14,51653023
37,2015-01-15,63283616
38,2015-01-16,82925523
39,2015-01-20,86996261
40,2015-01-21,57995531
41,2015-01-22,80829941
42,2015-01-23,53300672
43,2015-01-26,58694780
44,2015-01-27,100510975
45,2015-01-28,155781252
46,2015-01-29,89138209
47,2015-01-30,88431556
48,2015-02-02,66181590
49,2015-02-03,54824287
50,2015-02-04,74030839
51,2015-02-05,44438620
52,2015-02-06,45964935
53,2015-02-09,40895791
54,2015-02-10,65164771
55,2015-02-11,77332011
56,2015-02-12,78330856
57,2015-02-13,56927581
58,2015-02-17,66393629
59,2015-02-18,47218044
60,2015-02-19,39279445
61,2015-02-20,51474822
62,2015-02-23,74617465
63,2015-02-24,72791386
64,2015-02-25,78560740
65,2015-02-26,96020337
66,2015-02-27,65231155
67,2015-03-02,50608817
68,2015-03-03,39791443
69,2015-03-04,33320315
70,2015-03-05,59469141
71,2015-03-06,76646735
72,2015-03-09,93152478
73,2015-03-10,72453061
74,2015-03-11,72539762
75,2015-03-12,50910842
76,2015-03-13,54534273
77,2015-03-16,37748111
78,2015-03-17,53688174
79,2015-03-18,68680174
80,2015-03-19,48202149
81,2015-03-20,72283235
82,2015-03-23,39679274
83,2015-03-24,34557741
84,2015-03-25,54353186
85,2015-03-26,50057655
86,2015-03-27,41611700
87,2015-03-30,49559739
88,2015-03-31,44289056
89,2015-04-01,42743165
90,2015-04-02,33903042
91,2015-04-06,39136637
92,2015-04-07,36819494
93,2015-04-08,39279005
94,2015-04-09,34132932
95,2015-04-10,42287023
96,2015-04-13,38264547
97,2015-04-14,26857714
98,2015-04-15,30457939
99,2015-04-16,29850770
100,2015-04-17,54670854
101,2015-04-20,49502951
102,2015-04-21,34094920
103,2015-04-22,39585604
104,2015-04-23,48161636
105,2015-04-24,46851616
106,2015-04-27,102018381
107,2015-04-28,125135690
108,2015-04-29,66696822
109,2015-04-30,87540921
110,2015-05-01,61568872
111,2015-05-04,53651452
112,2015-05-05,51844979
113,2015-05-06,75857987
114,2015-05-07,45652779
115,2015-05-08,58208702
116,2015-05-11,44047350
117,2015-05-12,50464764
118,2015-05-13,36354556
119,2015-05-14,47366643
120,2015-05-15,40021590
121,2015-05-18,53256393
122,2015-05-19,46769197
123,2015-05-20,38199509
124,2015-05-21,41631624
125,2015-05-22,47777927
126,2015-05-26,74044081
127,2015-05-27,48026583
128,2015-05-28,32191239
129,2015-05-29,53319512
130,2015-06-01,33649578
131,2015-06-02,35247319
132,2015-06-03,32466240
133,2015-06-04,40290158
134,2015-06-05,37331747
135,2015-06-08,55195489
136,2015-06-09,58732198
137,2015-06-10,40948345
138,2015-06-11,37084550
139,2015-06-12,38579953
140,2015-06-15,46094023
141,2015-06-16,33001274
142,2015-06-17,34493316
143,2015-06-18,37101639
144,2015-06-19,57335314
145,2015-06-22,35668278
146,2015-06-23,31717403
147,2015-06-24,57926303
148,2015-06-25,33466523
149,2015-06-26,46175652
150,2015-06-29,51514057
151,2015-06-30,46494077
152,2015-07-01,31685901
153,2015-07-02,28513099
154,2015-07-06,29403250
155,2015-07-07,49193474
156,2015-07-08,63669393
157,2015-07-09,82356224
158,2015-07-10,64290561
159,2015-07-13,43423667
160,2015-07-14,33279159
161,2015-07-15,35239317
162,2015-07-16,37955852
163,2015-07-17,48373947
164,2015-07-20,61718915
165,2015-07-21,80429635
166,2015-07-22,120975577
167,2015-07-23,53440014
168,2015-07-24,44180009
169,2015-07-27,46582952
170,2015-07-28,35226815
171,2015-07-29,38782874
172,2015-07-30,35237502
173,2015-07-31,44937189
174,2015-08-03,73291498
175,2015-08-04,130079349
176,2015-08-05,104065281
177,2015-08-06,55158515
178,2015-08-07,40338410
179,2015-08-10,57321780
180,2015-08-11,101212493
181,2015-08-12,106071713
